date,open,high,low,close,volume
2023-12-28 00:00:00+05:30,1294.9,1306.0,1293.43,1302.78,12302636
2023-12-29 00:00:00+05:30,1305.55,1307.0,1289.65,1292.48,10864584
2024-01-01 00:00:00+05:30,1290.28,1303.43,1286.58,1295.13,4030540
2024-01-02 00:00:00+05:30,1292.5,1307.5,1286.5,1305.85,7448800
2024-01-03 00:00:00+05:30,1305.0,1317.0,1288.6,1291.65,9037536
2024-01-04 00:00:00+05:30,1294.0,1304.93,1289.55,1298.33,9612778
2024-01-05 00:00:00+05:30,1301.45,1309.93,1299.0,1303.85,8086406
2024-01-08 00:00:00+05:30,1305.0,1315.98,1284.48,1293.68,7734652
2024-01-09 00:00:00+05:30,1300.0,1303.4,1288.6,1290.25,5403074
2024-01-10 00:00:00+05:30,1288.5,1329.5,1287.53,1325.05,11102740
2024-01-11 00:00:00+05:30,1329.5,1362.5,1328.5,1359.9,23725852
2024-01-12 00:00:00+05:30,1359.9,1373.33,1345.75,1370.73,15012164
2024-01-15 00:00:00+05:30,1375.0,1396.45,1366.0,1394.13,8610594
2024-01-16 00:00:00+05:30,1389.98,1396.3,1370.5,1374.63,9069024
2024-01-17 00:00:00+05:30,1359.5,1386.28,1355.03,1361.58,12197382
2024-01-18 00:00:00+05:30,1351.4,1371.0,1351.25,1367.95,10279438
2024-01-19 00:00:00+05:30,1376.0,1376.0,1359.0,1367.45,10422704
2024-01-20 00:00:00+05:30,1365.0,1383.48,1350.0,1356.65,7283394
2024-01-23 00:00:00+05:30,1371.75,1371.75,1322.55,1328.58,20055420
2024-01-24 00:00:00+05:30,1335.23,1349.5,1323.93,1343.88,21919128
2024-01-25 00:00:00+05:30,1342.95,1364.15,1335.2,1353.08,11808872
2024-01-29 00:00:00+05:30,1364.5,1452.5,1360.18,1448.05,23893438
2024-01-30 00:00:00+05:30,1459.95,1459.98,1404.43,1407.63,14093978
2024-01-31 00:00:00+05:30,1404.0,1434.25,1402.5,1426.63,15130226
2024-02-01 00:00:00+05:30,1435.0,1443.35,1418.05,1426.65,13349362
2024-02-02 00:00:00+05:30,1433.18,1474.9,1433.18,1457.7,19652588
2024-02-05 00:00:00+05:30,1460.75,1470.5,1431.53,1439.03,8814432
2024-02-06 00:00:00+05:30,1441.85,1441.85,1419.83,1427.8,9047984
2024-02-07 00:00:00+05:30,1435.93,1449.5,1429.25,1442.15,9296568
2024-02-08 00:00:00+05:30,1450.0,1459.48,1427.53,1450.13,14694634
2024-02-09 00:00:00+05:30,1454.0,1471.98,1450.95,1460.75,12556798
2024-02-12 00:00:00+05:30,1460.75,1461.0,1442.35,1452.35,6674430
2024-02-13 00:00:00+05:30,1455.5,1479.0,1454.0,1465.1,7715594
2024-02-14 00:00:00+05:30,1457.5,1483.65,1457.5,1481.38,7117888
2024-02-15 00:00:00+05:30,1483.35,1484.73,1466.53,1470.6,10006782
2024-02-16 00:00:00+05:30,1476.48,1477.0,1458.55,1460.58,9767498
2024-02-19 00:00:00+05:30,1462.05,1479.5,1453.53,1474.0,6729828
2024-02-20 00:00:00+05:30,1475.03,1475.5,1461.8,1471.03,7117496
2024-02-21 00:00:00+05:30,1474.0,1488.53,1457.55,1467.7,12720292
2024-02-22 00:00:00+05:30,1468.15,1484.95,1458.0,1481.75,18493728
2024-02-23 00:00:00+05:30,1489.5,1497.55,1483.35,1493.63,14438584
2024-02-26 00:00:00+05:30,1493.55,1494.53,1482.5,1487.33,7513106
2024-02-27 00:00:00+05:30,1483.03,1499.95,1478.05,1485.65,10826044
2024-02-28 00:00:00+05:30,1483.0,1491.28,1450.18,1455.63,8647950
2024-02-29 00:00:00+05:30,1465.0,1478.98,1454.53,1460.8,23628976
2024-03-01 00:00:00+05:30,1463.5,1500.0,1462.5,1492.13,12132926
2024-03-02 00:00:00+05:30,1492.0,1500.45,1488.0,1491.08,716300
2024-03-04 00:00:00+05:30,1490.48,1512.45,1487.23,1507.4,10024420
2024-03-05 00:00:00+05:30,1505.78,1507.4,1486.05,1500.2,7107668
2024-03-06 00:00:00+05:30,1493.45,1509.0,1478.5,1503.0,7805676
2024-03-07 00:00:00+05:30,1502.98,1503.1,1475.55,1478.93,8315726
2024-03-11 00:00:00+05:30,1489.0,1489.0,1463.5,1466.6,11277130
2024-03-12 00:00:00+05:30,1466.6,1488.0,1465.03,1475.43,9432678
2024-03-13 00:00:00+05:30,1479.78,1483.1,1427.78,1432.18,13522134
2024-03-14 00:00:00+05:30,1439.7,1448.53,1425.5,1431.48,18571102
